id,mutation_count,balance_id,user_id,dated_at,size,PP,description,show,created_at,updated_at
101,101,1,6,17-11-17 0:00,3.9,0.65,Statiegeld,1,17-12-29 23:14,17-12-29 23:14
102,102,1,6,17-11-17 0:00,3.9,0.65,Statiegeld,1,17-12-29 23:14,17-12-29 23:14
103,103,1,3,17-11-17 0:00,2.88,2.88,veilige seks,1,17-12-29 23:14,17-12-29 23:14
104,104,1,6,17-11-20 0:00,8.48,4.24,Pizza,1,17-12-29 23:14,17-12-29 23:14
105,105,1,2,17-11-20 0:00,3.29,3.29,brood en vlees,1,17-12-29 23:14,17-12-29 23:14
106,106,1,2,17-11-20 0:00,5.17,0.86,"paprika poeder, uit, boeljon",1,17-12-29 23:14,17-12-29 23:14
107,107,1,2,17-11-20 0:00,21.77,5.44,pasta,1,17-12-29 23:14,17-12-29 23:14
108,108,1,2,17-11-20 0:00,20.23,4.05,beenham,1,17-12-29 23:14,17-12-29 23:14
109,109,1,2,17-11-20 0:00,3.79,3.79,wasmiddel,1,17-12-29 23:14,17-12-29 23:14
110,110,1,5,17-11-20 0:00,31.66,3.96,rosbief tringle,1,17-12-29 23:14,17-12-29 23:14
111,111,1,4,17-11-20 0:00,7.4,1.23,statiegeld,1,17-12-29 23:14,17-12-29 23:14
112,112,1,6,17-11-21 0:00,7.46,7.46,kip van hj,1,17-12-29 23:14,17-12-29 23:14
113,113,1,4,17-11-21 0:00,65,65,rechtrekken die handel,1,17-12-29 23:14,17-12-29 23:14
114,114,1,1,17-11-22 0:00,25.5,5.1,Zaakrekening thema,1,17-12-29 23:14,17-12-29 23:14
115,115,1,3,17-11-22 0:00,16.4,3.28,"gevulde pataten, gehaktbrood rode kool",1,17-12-29 23:14,17-12-29 23:14
116,116,1,3,17-11-20 0:00,15.82,2.64,knoflook en SAUS,1,17-12-29 23:14,17-12-29 23:14
117,117,1,3,17-11-21 0:00,24.52,4.09,pulled pork,1,17-12-29 23:14,17-12-29 23:14
118,118,1,4,17-11-22 0:00,4.56,2.28,Rode pasta pesto,1,17-12-29 23:14,17-12-29 23:14
119,119,1,3,17-11-26 0:00,14.83,2.47,koffye,1,17-12-29 23:14,17-12-29 23:14
120,120,1,3,17-11-25 0:00,13.62,6.81,"stuk vlees, asperges, paprika soep",1,17-12-29 23:14,17-12-29 23:14
121,121,1,2,17-11-28 0:00,3.9,0.65,statigeld,1,17-12-29 23:14,17-12-29 23:14
122,122,1,2,17-11-28 0:00,6.88,1.15,schakelaar,1,17-12-29 23:14,17-12-29 23:14
123,123,1,2,17-11-28 0:00,4.64,0.77,koffie beneden,1,17-12-29 23:14,17-12-29 23:14
124,124,1,6,17-11-28 0:00,21.12,5.28,Pasta met wijn en kip,1,17-12-29 23:14,17-12-29 23:14
125,125,1,3,17-11-30 0:00,3.9,0.65,statiegeld,1,17-12-29 23:14,17-12-29 23:14
126,126,1,4,17-11-30 0:00,17.5,4.38,quiche,1,17-12-29 23:14,17-12-29 23:14
127,127,1,5,17-11-30 0:00,22.5,22.5,treinticket,1,17-12-29 23:14,17-12-29 23:14
128,128,1,1,17-12-01 0:00,15.7,5.23,Sushi,1,17-12-29 23:14,17-12-29 23:14
129,129,1,1,17-11-30 0:00,3.9,0.65,Statiegeld,1,17-12-29 23:14,17-12-29 23:14
130,130,1,1,17-11-27 0:00,10.37,1.73,"Limo, wc papier, reiniger, peper",1,17-12-29 23:14,17-12-29 23:14
131,131,1,1,17-11-26 0:00,7.21,2.4,maaltijdsalade,1,17-12-29 23:14,17-12-29 23:14
132,132,1,1,17-11-21 0:00,11.57,3.86,Pizza,1,17-12-29 23:14,17-12-29 23:14
133,133,1,4,17-12-01 0:00,3,3,flesje wijn,1,17-12-29 23:14,17-12-29 23:14
134,134,1,5,17-12-03 0:00,15,2.5,hj indrink cash roffa,1,17-12-29 23:14,17-12-29 23:14
135,135,1,5,17-12-03 0:00,25.78,4.3,pilsch indrink 2 kratten,1,17-12-29 23:14,17-12-29 23:14
136,136,1,5,17-12-03 0:00,5.1,0.85,kaasch hj indrink,1,17-12-29 23:14,17-12-29 23:14
137,137,1,5,17-12-03 0:00,14.99,2.5,hj indrink outfit,1,17-12-29 23:14,17-12-29 23:14
138,138,1,5,17-12-03 0:00,5.39,0.9,allesreiniger en wc papier,1,17-12-29 23:14,17-12-29 23:14
139,139,1,2,17-12-04 0:00,11.83,2.96,Subway broodje,1,17-12-29 23:14,17-12-29 23:14
140,140,1,2,17-12-04 0:00,5.76,0.96,"Ui, knoflook, blikje, vuilniszakken",1,17-12-29 23:14,17-12-29 23:14
141,141,1,2,17-12-04 0:00,14.99,2.5,Schippersbitter,1,17-12-29 23:14,17-12-29 23:14
142,142,1,2,17-12-04 0:00,5.4,5.4,Taxi,1,17-12-29 23:14,17-12-29 23:14
143,143,1,2,17-12-04 0:00,20,6.67,Snuifsel,1,17-12-29 23:14,17-12-29 23:14
144,144,1,1,17-12-02 0:00,55.96,9.33,Eten en fris HJ indrink,1,17-12-29 23:14,17-12-29 23:14
145,145,1,1,17-12-01 0:00,28.54,4.76,Kado Dwap housewarming,1,17-12-29 23:14,17-12-29 23:14
146,146,1,3,17-12-01 0:00,25,3.13,leo,1,17-12-29 23:14,17-12-29 23:14
147,147,1,1,17-12-03 0:00,8.85,1.77,fish,1,17-12-29 23:14,17-12-29 23:14
148,148,1,1,17-12-02 0:00,4.95,4.95,OV hj,1,17-12-29 23:14,17-12-29 23:14
149,149,1,3,17-12-01 0:00,14,2.33,wegwerp cameras,1,17-12-29 23:14,17-12-29 23:14
150,150,1,4,17-12-01 0:00,12.32,4.11,Soep en porto bella's,1,17-12-29 23:14,17-12-29 23:14
151,151,1,4,17-12-04 0:00,5.19,1.73,omelet met paddestoelen,1,17-12-29 23:14,17-12-29 23:14
152,152,1,4,17-12-02 0:00,25.35,4.23,"Hj indrink(foto's, toegangkaartjes)",1,17-12-29 23:14,17-12-29 23:14
153,153,1,4,17-11-29 0:00,17.96,3.59,Quiche,1,17-12-29 23:14,17-12-29 23:14
154,154,1,6,17-12-02 0:00,7.47,1.25,kratten hier indrink,1,17-12-29 23:14,17-12-29 23:14
155,155,1,6,17-12-02 0:00,33.15,5.53,kluslijst hj indrink,1,17-12-29 23:14,17-12-29 23:14
156,156,1,6,17-12-03 0:00,5.9,5.9,leo,1,17-12-29 23:14,17-12-29 23:14
157,157,1,2,17-12-04 0:00,6.5,1.08,hema koffie,1,17-12-29 23:14,17-12-29 23:14
158,158,1,4,17-12-04 0:00,15,15,geld skihut,1,17-12-29 23:14,17-12-29 23:14
159,159,1,4,17-12-04 0:00,17.94,3.59,broccolie met worst en soep,1,17-12-29 23:14,17-12-29 23:14
160,160,1,4,17-12-04 0:00,9.54,1.59,HO schoonmaakmiddel en olijfolie,1,17-12-29 23:14,17-12-29 23:14
161,161,1,3,17-12-09 0:00,3.9,0.65,statiegeld,1,17-12-29 23:14,17-12-29 23:14
162,162,1,3,17-12-08 0:00,24.73,4.95,jerk chicken,1,17-12-29 23:14,17-12-29 23:14
163,163,1,3,17-12-08 0:00,9.11,1.52,uien knoflook kruiden,1,17-12-29 23:14,17-12-29 23:14
164,164,1,1,17-12-10 0:00,4.35,0.73,wc lint,1,17-12-29 23:14,17-12-29 23:14
165,165,1,1,17-12-10 0:00,5.34,2.67,visprut,1,17-12-29 23:14,17-12-29 23:14
